fire_date,daily_fire_count,daily_acres_burned,avg_fire_size,max_fire_size,avg_lat,avg_lon,fires_7day,fires_30day,acres_7day,acres_30day
1992-01-01,3.0,5.3,1.7666666666666666,5.0,35.01186296,-117.71371481333334,3.0,3.0,5.3,5.3
1992-01-02,3.0,0.8,0.26666666666666666,0.5,33.53472222,-116.66462962666667,6.0,6.0,6.1,6.1
1992-01-03,1.0,0.1,0.1,0.1,37.26611111,-122.32194444,7.0,7.0,6.2,6.2
1992-01-04,2.0,0.2,0.1,0.1,33.902499995,-117.34749999499999,9.0,9.0,6.3999999999999995,6.3999999999999995
1992-01-05,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,6.3999999999999995,6.3999999999999995
1992-01-06,1.0,0.1,0.1,0.1,34.34166667,-118.10666667,10.0,10.0,6.5,6.5
1992-01-07,1.0,0.1,0.1,0.1,33.865,-117.37388888,11.0,11.0,6.6,6.6
1992-01-08,0.0,0.0,0.0,0.0,0.0,0.0,8.0,11.0,1.3,6.6
1992-01-09,0.0,0.0,0.0,0.0,0.0,0.0,5.0,11.0,0.5,6.6
1992-01-10,2.0,3.3,1.65,3.0,32.7334,-114.6508,6.0,13.0,3.6999999999999997,9.9
1992-01-11,1.0,0.2,0.2,0.2,32.7334,-114.6175,5.0,14.0,3.6999999999999997,10.1
1992-01-12,3.0,62.5,20.833333333333332,60.0,35.75361110666666,-118.06833332999999,8.0,17.0,66.2,72.6
1992-01-13,2.0,0.4,0.2,0.3,33.21347222,-117.01805555000001,9.0,19.0,66.50000000000001,73.0
1992-01-14,3.0,1.1,0.3666666666666667,0.5,34.17804444,-116.56842592,11.0,22.0,67.5,74.1
1992-01-15,4.0,1.0,0.25,0.5,33.5027083275,-116.832499995,15.0,26.0,68.5,75.1
1992-01-16,3.0,1.2,0.39999999999999997,1.0,33.45185185,-117.08999999666666,18.0,29.0,69.7,76.3
1992-01-17,2.0,0.5,0.25,0.3,36.61236111,-119.24875,18.0,31.0,66.9,76.8
1992-01-18,10.0,25.3,2.5300000000000002,15.0,39.369805553,-121.94747221899999,27.0,41.0,92.0,102.1
