year_month,monthly_fire_count,monthly_acres_burned,avg_fire_size,max_fire_size,most_common_cause
1992-01,92,222.3,2.4163043478260873,60.0,Debris Burning
1992-02,54,225.5,4.175925925925926,120.0,Debris Burning
1992-03,48,1885.3999999999999,39.27916666666666,1800.0,Debris Burning
1992-04,259,7364.5,28.434362934362934,4200.0,Miscellaneous
1992-05,1339,12041.2,8.992681105302465,1350.0,Equipment Use
1992-06,2185,29892.0,13.680549199084668,2150.0,Lightning
1992-07,2064,23378.3,11.326695736434107,2080.0,Miscellaneous
1992-08,2284,155138.0,67.92381786339755,64000.0,Lightning
1992-09,1361,60516.0,44.4643644379133,24580.0,Equipment Use
1992-10,753,3897.1,5.17543160690571,430.0,Miscellaneous
1992-11,293,1735.9,5.9245733788395905,700.0,Miscellaneous
1992-12,101,143.6,1.4217821782178217,35.0,Miscellaneous
1993-01,31,45.1,1.4548387096774194,30.0,Miscellaneous
1993-02,40,28.0,0.7,10.0,Miscellaneous
1993-03,69,211.1,3.059420289855072,100.0,Miscellaneous
1993-04,201,762.8,3.7950248756218903,400.0,Miscellaneous
1993-05,749,27252.2,36.38477970627503,7100.0,Miscellaneous
1993-06,1196,48486.9,40.54088628762542,16000.0,Equipment Use
1993-07,1678,20315.0,12.106674612634087,2400.0,Miscellaneous
1993-08,1673,28518.4,17.04626419605499,8360.0,Equipment Use
1993-09,1264,53111.0,42.01819620253165,43201.0,Equipment Use
1993-10,750,127299.5,169.73266666666666,38152.0,Miscellaneous
1993-11,494,14657.000000000002,29.670040485829965,8780.0,Miscellaneous
1993-12,125,808.3,6.466399999999999,300.0,Miscellaneous
1994-01,189,876.6999999999999,4.638624338624338,380.0,Miscellaneous
1994-02,79,163.9,2.0746835443037974,85.0,Miscellaneous
1994-03,192,315.1,1.6411458333333335,55.0,Debris Burning
1994-04,332,6209.2,18.702409638554215,3000.0,Debris Burning
1994-05,617,11465.7,18.582982171799028,3380.0,Miscellaneous
1994-06,1442,73749.2,51.14368932038835,9497.0,Equipment Use
1994-07,2021,96740.1,47.86744186046512,28953.0,Lightning
1994-08,1381,145753.4,105.54192614047791,48851.0,Equipment Use
1994-09,1526,65992.3,43.24528178243775,44683.0,Lightning
1994-10,590,5819.0,9.86271186440678,1648.0,Miscellaneous
1994-11,190,513.3,2.7015789473684206,100.0,Miscellaneous
1994-12,95,346.8,3.650526315789474,250.0,Miscellaneous
1995-01,34,5.4,0.15882352941176472,1.0,Miscellaneous
1995-02,59,197.7,3.3508474576271183,160.0,Miscellaneous
1995-03,34,28.5,0.8382352941176471,8.0,Equipment Use
1995-04,103,108.2,1.050485436893204,35.0,Miscellaneous
1995-05,315,5296.1,16.813015873015875,1820.0,Miscellaneous
1995-06,938,35714.9,38.075586353944566,7495.0,Miscellaneous
1995-07,1721,52258.7,30.36531086577571,5521.0,Equipment Use
1995-08,1451,67610.2,46.595589248793935,23455.0,Equipment Use
1995-09,1080,15109.8,13.990555555555554,3500.0,Miscellaneous
1995-10,983,34032.9,34.62146490335707,12354.0,Equipment Use
1995-11,503,4959.7,9.86023856858847,1600.0,Miscellaneous
1995-12,160,746.6,4.66625,303.0,Miscellaneous
1996-01,160,4171.599999999999,26.072499999999998,3500.0,Miscellaneous
1996-02,44,28.0,0.6363636363636364,10.0,Miscellaneous
1996-03,94,1084.1,11.532978723404254,1000.0,Miscellaneous
1996-04,488,59488.3,121.90225409836066,19839.0,Campfire
1996-05,895,34927.6,39.025251396648045,4500.0,Equipment Use
1996-06,1368,71224.0,52.06432748538012,16820.0,Equipment Use
1996-07,2159,58928.6,27.29439555349699,7150.0,Lightning
1996-08,2005,380980.2,190.01506234413966,106668.0,Lightning
1996-09,885,13117.0,14.821468926553672,1000.0,Equipment Use
1996-10,773,81980.5,106.05498059508409,25620.0,Equipment Use
1996-11,256,1006.4,3.93125,178.0,Debris Burning
1996-12,46,174.20000000000002,3.786956521739131,150.0,Miscellaneous
1997-01,43,9.0,0.20930232558139536,1.0,Campfire
1997-02,137,93.4,0.6817518248175183,10.0,Campfire
1997-03,322,2401.3,7.457453416149069,1300.0,Debris Burning
1997-04,572,3899.7,6.817657342657342,1000.0,Miscellaneous
1997-05,1130,67569.7,59.79619469026549,47000.0,Equipment Use
1997-06,1113,14640.0,13.153638814016173,7485.0,Equipment Use
1997-07,1796,21057.0,11.724387527839644,5200.0,Lightning
1997-08,1128,133229.0,118.11081560283688,49490.0,Equipment Use
1997-09,925,28413.1,30.716864864864863,5745.0,Equipment Use
1997-10,504,52478.4,104.12380952380953,43700.0,Equipment Use
1997-11,187,729.4,3.9005347593582886,375.0,Miscellaneous
1997-12,73,46.3,0.6342465753424658,10.0,Miscellaneous
1998-01,36,16.0,0.4444444444444444,6.0,Miscellaneous
1998-02,19,3.4000000000000004,0.17894736842105266,1.0,Miscellaneous
1998-03,63,152.1,2.414285714285714,90.0,Campfire
1998-04,121,394.5,3.260330578512397,158.0,Miscellaneous
1998-05,252,852.2,3.3817460317460317,290.0,Miscellaneous
1998-06,723,5062.5,7.0020746887966805,807.0,Equipment Use
1998-07,1624,30164.4,18.574137931034485,7000.0,Equipment Use
1998-08,1720,61398.5,35.696802325581395,9700.0,Equipment Use
1998-09,1214,7482.4,6.163426688632619,845.0,Lightning
1998-10,763,51778.9,67.86225425950197,28164.0,Miscellaneous
1998-11,196,1428.3,7.287244897959184,350.0,Miscellaneous
1998-12,133,1279.9,9.623308270676693,446.0,Miscellaneous
1999-01,205,281.5,1.3731707317073172,40.0,Miscellaneous
1999-02,87,1460.0,16.7816091954023,1000.0,Miscellaneous
1999-03,150,2788.7999999999997,18.592,2450.0,Miscellaneous
1999-04,304,2006.3,6.599671052631579,1187.0,Equipment Use
1999-05,753,17168.7,22.8003984063745,14000.0,Miscellaneous
1999-06,1264,12505.2,9.893354430379748,2000.0,Equipment Use
1999-07,1873,42228.9,22.546129204484785,14537.0,Miscellaneous
1999-08,1881,446104.7,237.1635832004253,124898.0,Lightning
1999-09,1129,180754.19999999998,160.10115146147032,60390.0,Lightning
1999-10,702,90945.6,129.55213675213676,40000.0,Miscellaneous
1999-11,262,1955.0,7.461832061068702,889.0,Miscellaneous
1999-12,300,5924.5,19.748333333333335,4371.0,Miscellaneous
2000-01,155,156.6,1.0103225806451612,60.0,Miscellaneous
2000-02,68,110.80000000000001,1.6294117647058826,63.0,Miscellaneous
2000-03,142,1802.6000000000001,12.694366197183099,1140.0,Debris Burning
2000-04,287,2766.0,9.637630662020905,1700.0,Debris Burning
2000-05,541,2991.7,5.529944547134935,740.0,Miscellaneous
2000-06,1185,16014.0,13.51392405063291,5731.0,Equipment Use
2000-07,1496,121903.20000000001,81.4860962566845,75000.0,Miscellaneous
2000-08,1492,80738.90000000001,54.11454423592494,55261.0,Lightning
2000-09,758,16120.6,21.267282321899735,8284.0,Equipment Use
2000-10,493,8640.199999999999,17.525760649087218,4500.0,Equipment Use
2000-11,198,184.2,0.9303030303030303,30.0,Miscellaneous
2000-12,162,1247.2,7.6987654320987655,480.0,Miscellaneous
2001-01,156,10890.9,69.81346153846154,10353.0,Miscellaneous
2001-02,61,2562.8,42.01311475409836,2400.0,Miscellaneous
2001-03,122,329.2,2.6983606557377047,200.0,Debris Burning
2001-04,161,195.5,1.2142857142857142,34.0,Miscellaneous
2001-05,894,11900.6,13.311633109619688,4400.0,Equipment Use
2001-06,1335,36630.3,27.438426966292138,14500.0,Equipment Use
2001-07,2076,38828.7,18.703612716763004,9300.0,Lightning
2001-08,1322,200698.6,151.8143721633888,67792.0,Miscellaneous
2001-09,1171,34982.2,29.87378309137489,14280.0,Lightning
2001-10,640,11064.0,17.2875,6540.0,Equipment Use
2001-11,196,885.0,4.51530612244898,330.0,Miscellaneous
2001-12,48,1208.8999999999999,25.185416666666665,1200.0,Equipment Use
2002-01,97,152.4,1.5711340206185567,100.0,Miscellaneous
2002-02,175,8808.5,50.33428571428571,5763.0,Equipment Use
2002-03,211,4633.599999999999,21.96018957345971,2400.0,Miscellaneous
2002-04,330,1992.1,6.036666666666666,892.0,Miscellaneous
2002-05,778,15115.0,19.4280205655527,5200.0,Equipment Use
2002-06,1239,115932.2,93.56916868442292,23407.0,Equipment Use
2002-07,1562,263225.39999999997,168.5181818181818,150696.0,Lightning
2002-08,951,13719.199999999999,14.4260778128286,2620.0,Miscellaneous
2002-09,827,77674.7,93.92345828295042,37240.0,Miscellaneous
2002-10,533,4261.0,7.99437148217636,1500.0,Miscellaneous
2002-11,369,9415.2,25.51544715447155,2400.0,Miscellaneous
2002-12,61,13.4,0.219672131147541,4.0,Equipment Use
2003-01,90,1257.1499999999999,13.968333333333332,772.0,Miscellaneous
2003-02,74,12037.949999999999,162.67499999999998,12000.0,Debris Burning
2003-03,113,205.66,1.82,100.0,Miscellaneous
2003-04,92,958.75,10.421195652173912,739.8,Miscellaneous
2003-05,422,3543.15,8.396090047393365,1000.0,Equipment Use
2003-06,1092,22356.72,20.473186813186814,6804.0,Miscellaneous
2003-07,2183,98461.93000000001,45.10395327530921,19575.8,Lightning
2003-08,1424,71942.66,50.52153089887641,30170.0,Lightning
2003-09,1475,65266.64,44.24856949152542,13846.0,Lightning
2003-10,663,754864.22,1138.5584012066365,280059.0,Equipment Use
2003-11,191,915.37,4.792513089005236,332.0,Arson
2003-12,94,154.85,1.6473404255319148,100.0,Miscellaneous
2004-01,64,27.65,0.43203125,5.0,Arson
2004-02,74,197.5,2.668918918918919,122.0,Miscellaneous
2004-03,209,582.65,2.787799043062201,350.0,Equipment Use
2004-04,541,4610.14,8.521515711645103,2300.0,Miscellaneous
2004-05,947,37443.35,39.538912354804644,16460.0,Equipment Use
2004-06,1452,25663.83,17.67481404958678,7440.0,Equipment Use
2004-07,1510,85442.67,56.58454966887417,17418.0,Equipment Use
2004-08,1217,51011.409999999996,41.91570254724733,12535.0,Equipment Use
2004-09,803,28287.75,35.22758405977584,12525.0,Equipment Use
2004-10,431,67520.65,156.6604408352668,39138.0,Equipment Use
2004-11,96,277.5,2.890625,131.0,Miscellaneous
2004-12,74,30.87,0.4171621621621622,12.0,Miscellaneous
