AcresBurned,ArchiveYear,Counties,Fatalities,Injuries,Latitude,Longitude,Location,Name,Started,Extinguished,StructuresDamaged,StructuresDestroyed,MajorIncident,Duration_Days
257314.0,2013,Tuolumne,,,37.857,-120.086,3 miles east of Groveland along Hwy 120,Rim Fire,2013-08-17 15:25:00+00:00,2013-09-06 18:30:00+00:00,,,False,20.0
30274.0,2013,Los Angeles,,,34.585595,-118.423176,Angeles National Forest,Powerhouse Fire,2013-05-30 15:28:00+00:00,2013-06-08 18:30:00+00:00,,,False,9.0
27531.0,2013,Riverside,,,33.7095,-116.72885,Hwy 243 & Hwy 74 near Mountain Center,Mountain Fire,2013-07-15 13:43:00+00:00,2013-07-30 18:00:00+00:00,,,False,15.0
27440.0,2013,Placer,,,39.12,-120.65,"Deadwood Ridge, northeast of Foresthill",American Fire,2013-08-10 16:30:00+00:00,2013-08-30 08:00:00+00:00,,,False,19.0
24251.0,2013,Ventura,,10.0,0.0,0.0,"Southbound Highway 101 at Camarillo Springs Road, Camarillo",Springs Fire,2013-05-02 07:01:00+00:00,2013-05-11 06:30:00+00:00,6.0,10.0,True,8.0
22992.0,2013,Fresno,,,37.279,-119.318,Seven miles north of Big Creek,Aspen Fire,2013-07-22 22:15:00+00:00,2013-09-24 20:15:00+00:00,,,False,63.0
20292.0,2013,Riverside,,26.0,33.86157,-116.90427,"Poppet Flats Rd near Hwy 243, south of Banning",Silver Fire,2013-08-07 14:05:00+00:00,2013-08-12 18:00:00+00:00,8.0,40.0,True,5.0
14754.0,2013,Siskiyou,,,41.32,-123.176,"North Fork of the Salmon River, West of Sawyers Bar, Klamath National Forest",Salmon River Complex,2013-07-31 22:00:00+00:00,2013-08-31 06:45:00+00:00,,,False,30.0
12503.0,2013,Humboldt,,,41.035,-123.488,Tish Tang Ridge east of Hoopa Valley Reservation,Corral Complex,2013-08-10 11:40:00+00:00,2013-08-12 12:00:00+00:00,,,False,2.0
11429.0,2013,Tehama,,5.0,40.04263,-121.85397,"Near Deer Creek, 12 miles east of Los Molinos. ",Deer Fire,2013-08-23 14:15:00+00:00,2013-08-29 16:45:00+00:00,,,True,6.0
8073.0,2013,Shasta,,6.0,40.498332,-122.535496,"Community of Igo, 10 miles southwest of Redding",Clover Fire,2013-09-09 12:32:00+00:00,2013-09-15 07:30:00+00:00,10.0,201.0,True,5.0
7055.0,2013,San Diego,,12.0,32.95435,-116.47381,"off Sunrise Hwy, 9 miles southeast of Julian",Chariot Fire,2013-07-06 12:55:00+00:00,2013-07-15 06:15:00+00:00,9.0,149.0,True,8.0
6965.0,2013,Tehama,,6.0,40.190062,-121.595555,"140K3 Line, 8 miles northwest of Butte Meadows",Panther Fire,2013-05-01 09:12:00+00:00,2013-05-09 09:00:00+00:00,,,True,7.0
4346.0,2013,Kern,,4.0,34.7861,-118.9411,"South of Frazier Mountain Park Rd, South of Frazier Park",Grand Fire,2013-05-15 12:50:00+00:00,2013-05-21 19:45:00+00:00,,,True,6.0
4346.0,2013,Ventura,,4.0,34.7861,-118.9411,"South of Frazier Mountain Park Rd, South of Frazier Park",Grand Fire,2013-05-15 12:50:00+00:00,2013-05-21 19:45:00+00:00,,,True,6.0
3505.0,2013,Sonoma,,6.0,38.8167,-122.8498,"The Geysers area, 10 miles northeast of Geyserville",McCabe Fire,2013-11-22 02:04:00+00:00,2013-11-27 18:15:00+00:00,,1.0,True,5.0
3166.0,2013,Riverside,,2.0,34.288877,-116.941311,Mias Canyon and Bluff Road in Banning,Summit Fire,2013-05-01 12:38:00+00:00,2013-05-04 18:30:00+00:00,,1.0,True,3.0
3111.0,2013,Contra Costa,,,37.90757,-121.882582,"off Morgan Territory Road, Southeast of Clayton",Morgan Fire,2013-09-08 13:08:00+00:00,2013-09-14 17:30:00+00:00,,,True,6.0
2781.0,2013,San Diego,,5.0,33.12111,-116.52579,"San Felipe Road, north of Highway 78, East of Julian",San Felipe Fire,2013-05-23 12:20:00+00:00,2013-05-26 17:45:00+00:00,,,True,3.0
2462.0,2013,Butte,,5.0,39.446268,-121.38236,southeast of Oroville,Swedes Fire,2013-08-16 16:37:00+00:00,2013-08-22 18:00:00+00:00,,7.0,True,6.0
2236.0,2013,San Diego,,,33.341,-117.3092,"On Camp Pendleton, west of Fallbrook",DeLuz Fire,2013-10-05 12:45:00+00:00,2013-10-09 19:00:00+00:00,,,False,4.0
2060.0,2013,Tulare,,,36.208,-118.444,Golden Trout Wilderness on the Sequoia National Forest.,Fish Fire,2013-08-24 14:31:00+00:00,2013-09-24 20:15:00+00:00,,,False,31.0
1984.0,2013,Santa Barbara,,,34.55048,-119.82429,"Southeast of Lake Cachuma, approx. 12 miles southeast of Santa Ynez",White Fire,2013-05-27 14:45:00+00:00,2013-05-30 19:30:00+00:00,,,False,3.0
1708.0,2013,Mariposa,,1.0,37.58202,-119.91071,"Off Carstens Road, east of 140 in the Midpines area.",Carstens Fire,2013-06-16 14:12:00+00:00,2013-06-26 11:15:00+00:00,,,True,9.0
1383.0,2013,Riverside,,,33.62236,-117.40288,"Ortega Highway, west of Lake Elsinoire",Falls Fire,2013-08-05 10:10:00+00:00,2013-08-09 18:45:00+00:00,,,False,4.0
1271.0,2013,San Diego,,6.0,33.04458,-116.5209,"Banner Grade area, south of Hwy 78 & east of Hwy 79, southeast of Julian",General Fire,2013-05-26 12:04:00+00:00,2013-05-31 06:15:00+00:00,,,True,4.0
1070.0,2013,Tuolumne,,,38.25108,-120.02778,"Near Beardsley Lake, northeast of Sonora",Power Fire,2013-08-05 06:00:00+00:00,2013-08-14 08:30:00+00:00,,,False,9.0
917.0,2013,Monterey,,,0.0,0.0,Pfeiffer Ridge Road and Highway 1 near Big Sur,Pfeiffer Fire,2013-12-16 00:20:00+00:00,2013-12-20 20:00:00+00:00,,,False,4.0
794.0,2013,Kern,,,35.707,-118.588,Lower Kern River Canyon area off Highway 178,Shirley Fire,2013-08-18 23:12:00+00:00,2013-08-24 13:45:00+00:00,,,False,5.0
712.0,2013,Kern,,5.0,34.882,-118.9194,West side of Interstate 5 in Lebec (Kern County),Rancho Fire,2013-07-19 12:00:00+00:00,2013-07-22 18:45:00+00:00,,,True,3.0
712.0,2013,Los Angeles,,,34.49149,-118.610044,I-5 Southbound at Lake Hughes Road,Lake Fire,2013-05-17 13:23:00+00:00,2013-05-18 19:00:00+00:00,,,False,1.0
612.0,2013,Kern,,,34.90327,-118.93388,West side of Interstate 5 at Tejon Ranch,Water Fire,2013-07-23 09:15:00+00:00,2013-07-25 18:30:00+00:00,,,False,2.0
572.0,2013,El Dorado,,,38.774,-120.298,"Off Hwy 50 at 30 Mile Tract, Kyburz",Kyburz Fire,2013-07-08 12:45:00+00:00,2013-07-11 18:30:00+00:00,,,False,3.0
534.0,2013,San Bernardino,,,34.071556,-117.048397,"south of Highway 38 & Bryant Street, northwest of Yucaipa ",Mills Fire,2013-06-28 14:30:00+00:00,2013-07-01 06:00:00+00:00,1.0,0.0,True,2.0
513.0,2013,Plumas,,,40.00842,-120.764666,Keddie Ridge/North Arm areas of Indian Valley near Taylorsville,Plumas Lightning Complex (Hough),2013-08-18 18:30:00+00:00,2013-08-25 13:15:00+00:00,,,False,6.0
510.0,2013,Riverside,,,33.894055,-116.855019,"Highway 243, south of Banning and north of Pine Cove",Gorgonio Fire,2013-05-04 11:43:00+00:00,2013-05-05 18:45:00+00:00,,,False,1.0
502.0,2013,Modoc,,,41.2415,-121.035,5 miles northwest of Aiden,Fox Fire (formally 3-7 Fire),2013-07-03 22:56:00+00:00,2013-07-05 18:30:00+00:00,,,False,1.0
500.0,2013,San Luis Obispo,,,35.15832,-120.05131,"west of the Carrizo Plain, Los Padres National Forest",Branch Fire,2013-06-01 17:27:00+00:00,2013-06-03 18:30:00+00:00,,,False,2.0
492.0,2013,Contra Costa,,,37.96866,-121.91453,Kirker Pass Road south of Pittsburg,Kirker Fire,2013-07-01 13:19:00+00:00,2013-07-01 18:40:00+00:00,,,False,0.0
482.0,2013,Madera,,,37.015575,-119.78106,"off Hwy 41 & Road 145, northwest of Friant ",Rolling Fire,2013-06-16 18:17:00+00:00,2013-06-18 19:30:00+00:00,,1.0,True,2.0
413.0,2013,San Bernardino,,,34.302,-117.598,upper end of Lytle Creek,Gobblers Fire,2013-08-20 13:32:00+00:00,2013-08-20 13:32:00+00:00,,,False,0.0
406.0,2013,Inyo,,2.0,36.602575,-118.01651,"south of Narrow Gauge Rd & north of Hwy 136, east of Lone Pine",River Fire,2013-02-24 08:16:00+00:00,2013-02-28 20:00:00+00:00,,0.0,True,4.0
376.0,2013,Napa,,,38.628,-122.289,off Berryessa Knoxville Rd near Lake Berryessa,Putah Fire,2013-10-03 20:33:00+00:00,2013-10-04 16:55:00+00:00,,,True,0.0
354.0,2013,San Benito,,,37.160346,-120.937494,"Highway 25 and Horizon Rd, Community of Tres ",Tres Pinos Fire,2013-05-03 11:42:00+00:00,2013-05-03 18:45:00+00:00,,,False,0.0
311.0,2013,Riverside,,,0.0,0.0,"Rio Rancho Rd & Calle Hermosa, Jurupa Valley",Jurupa Fire,2013-02-28 16:43:00+00:00,2013-03-02 19:00:00+00:00,,,False,2.0
305.0,2013,Butte,,,39.439,-121.497,off District Center Dr & Fortune Way in Palermo,Summit Fire,2013-10-04 17:37:00+00:00,2013-10-05 22:00:00+00:00,,4.0,True,1.0
303.0,2013,San Joaquin,,,38.04993,-120.90325,off North Shelton Rd in the Linden Peters area,Shelton Fire,2013-05-30 11:20:00+00:00,2013-05-30 13:25:00+00:00,,,False,0.0
298.0,2013,Butte,,,39.434183,-121.576804,Palermo Road and Lone Tree Road near Palermo,Lone Fire,2013-06-03 13:49:00+00:00,2013-06-03 20:00:00+00:00,,9.0,True,0.0
296.0,2013,Lake,,,0.0,0.0,"North of Highway 29, southeast of Kelseyville",Becks Fire,2013-01-22 11:08:00+00:00,2013-01-23 10:15:00+00:00,,,False,0.0
274.0,2013,Contra Costa,,,39.90465,-121.74367,off Concord Ave & Vineyard Parkway in Brentwood,Concord Fire,2013-07-01 15:41:00+00:00,2013-07-01 18:30:00+00:00,,,False,0.0
274.0,2013,Madera,,,37.116295,-119.635004,Between Road 210 and Road 200 near Fine Gold Creek in the community of O,Gold Fire,2013-04-30 12:59:00+00:00,2013-05-01 07:00:00+00:00,,,False,0.0
268.0,2013,Los Angeles,,,34.149,-117.908,San Gabriel Canyon 1/4 mile west of the entrance station,Madre Fire,2013-09-23 18:00:00+00:00,2013-09-28 08:00:00+00:00,,,False,4.0
263.0,2013,San Diego,,2.0,32.710918,-116.746023,"Four Corners, Lyons Valley Road, east of Lyons Peak",Lyon Fire,2013-09-09 13:09:00+00:00,2013-09-12 18:15:00+00:00,,,True,3.0
243.0,2013,San Bernardino,,,34.35,-117.62,Sheep canyon just south of Wrightwood,Sharp Fire,2013-08-08 12:15:00+00:00,2013-08-13 23:45:00+00:00,,,False,5.0
240.0,2013,Alameda,,,37.775057,-121.737213,"off Vasco Road & North Vasco Road, north of Livermore",Vasco Fire,2013-06-08 10:16:00+00:00,2013-06-08 13:25:00+00:00,,,False,0.0
237.0,2013,Placer,,,38.729297,-121.380862,"PFE Road and Watt Avenue, West Roseville",PFE Fire,2013-06-13 11:28:00+00:00,2013-06-13 14:15:00+00:00,,,False,0.0
226.0,2013,Glenn,,,0.0,0.0,15 miles northwest of Elk Creek off County Road 306,Daves Fire,2013-06-12 15:17:00+00:00,2013-06-17 09:00:00+00:00,,,False,4.0
217.0,2013,Glenn,,,39.514139,-122.560862,2 miles south of the community of Elk Creek,306 Fire,2013-05-01 19:00:00+00:00,2013-05-05 18:00:00+00:00,,,True,3.0
213.0,2013,Monterey,,,0.0,0.0,"Tassajara Hot Springs, near the Zen Center",Tassajara Fire,2013-07-17 13:23:00+00:00,2013-07-17 19:30:00+00:00,,,False,0.0
200.0,2013,San Bernardino,,,34.2,-117.417,in the Cajon Pass west of I-15 near Glen Helen Road,Sierra Fire,2013-09-24 15:51:00+00:00,2013-09-30 08:30:00+00:00,,,False,5.0
200.0,2013,Tehama,,,40.012398,-122.079871,"Tehama-Vina Rd and Sherman Rd, Los Molinos",Vina Fire,2013-07-04 07:30:00+00:00,2013-07-04 10:30:00+00:00,,,False,0.0
196.0,2013,Shasta,,,40.5445,-121.3754,Fall River Mills and McAruther area,Burney Lightning Series (Warner Fire),2013-08-19 17:48:00+00:00,2013-08-23 19:15:00+00:00,,,True,4.0
195.0,2013,Tehama,,,39.961309,-122.330879,West of Corning,Paskenta Fire,2013-07-19 13:32:00+00:00,2013-07-19 15:00:00+00:00,,,False,0.0
190.0,2013,Napa,,,38.382,-122.311,Off Silverado Trail in the Soda Canyon area near Napa,Silverado Fire,2013-11-21 21:39:00+00:00,2013-11-23 18:30:00+00:00,,1.0,True,1.0
170.0,2013,Santa Barbara,,,34.611824,-120.074655,"Hwy 246 and Meadowvale, East of Solvang ",Olive Fire,2013-05-28 15:24:00+00:00,2013-05-29 10:30:00+00:00,,,False,0.0
