Event Year,Event Month,Date Event Began,Area Affected,NERC Region,Demand Loss (MW),Number of Customers Affected
2023,January,2023-01-01,California: Riverside County;,WECC,0.0,0.0
2023,January,2023-01-01,California: Sacramento County;,WECC,0.0,0.0
2023,January,2023-01-07,California: Sacramento County;,WECC,458.0,185434.0
2023,January,2023-01-12,California: Sacramento County;,WECC,0.0,0.0
2023,January,2023-01-23,California: Sacramento County;,WECC,,
2023,January,2023-01-23,California: Sacramento County;,WECC,,
2023,February,2023-02-13,California: San Diego County;,WECC,0.0,0.0
2023,February,2023-02-19,California: Riverside County;,WECC,0.0,0.0
2023,February,2023-02-25,California: Los Angeles County;,WECC,,153555.0
2023,March,2023-03-26,Washington: Oregon: Josephine County; California: Idaho: Utah: Wyoming: Montana:,WECC ,34.0,
2023,April,2023-04-03,Colorado: Wyoming: Nebraska: Arizona: New Mexico: Utah: California:,WECC/MRO,,0.0
2023,April,2023-04-15,Texas: Kentucky: New Mexico: Washington: Oregon: Arizona: California: Nebraska: Pennsylvania: Ohio:,TRE,0.0,0.0
2023,April,2023-04-21,California:,WECC,0.0,0.0
2023,April,2023-04-27,California: Stanislaus County;,WECC,0.0,0.0
2023,June,2023-06-27,California,WECC,0.0,0.0
