Event Description,Year,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Respondent,Geographic Areas,NERC Region,Demand Loss (MW),Number of Customers Affected,Tags
Electrical System Islanding,2014,2014-06-09,11:07 AM,2014-06-09,11:30 AM,Peak Reliability,"Alberta, Canada",WECC,Unknown,Unknown,islanding
Electrical System Islanding,2014,2014-06-03,3:32 PM,2014-06-03,3:59 PM,Peak Reliability,"Alberta, Canada",WECC,338,,islanding
Electrical System Separation (Islanding),2014,2014-05-26,12:31 PM,2014-05-26,1:18 PM,Peak Reliability,"British Columbia & Alberta, Canada",WECC,Unknown,Unknown,islanding
Physical Attack - Vandalism,2014,2014-05-23,3:00 PM,2014-05-25,7:00 PM,Duke Energy Progress,North Carolina,SERC,Unknown,Unknown,"vandalism, physical"
Public Appeal to Reduce Electricity Usage - Wild Fires,2014,2014-05-16,10:43 AM,2014-05-16,9:00 PM,San Diego Gas & Electric Co,"San Diego & Orange Counties, California",WECC,"3,900","1,400,000","wild fire, public appeal"
Public Appeal to Reduce Electricity Usage - Wild Fires,2014,2014-05-15,10:43 AM,,Unknown,San Diego Gas & Electric Co,"San Diego & Orange Counties, California",WECC,"3,300","1,400,000","wild fire, public appeal"
Public Appeal to Reduce Electricity Usage - Wild Fires,2014,2014-05-14,3:34 PM,,Unknown,San Diego Gas & Electric Company,"San Diego & Orange Counties, California",WECC,,426,"wild fire, public appeal"
Physical Attack,2014,2014-05-08,8:39 AM,2014-05-08,8:40 AM,"CSolar IV South, LLC","Imperial Valley, California",WECC,Unknown,Unknown,"vandalism, physical"
Electrical System Separation (Islanding),2014,2014-04-27,9:15 AM,,Unknown,Peak Reliability,"Alberta, Canada",WECC,9750,"4,000,000",islanding
Electrical System Separation (Islanding),2014,2014-04-24,3:02 PM,2014-04-24,5:13 PM,Peak Reliability,"Alberta, Canada",WECC,Unknown,Unknown,islanding
Physical Attack - Vandalism,2014,2014-04-08,1:00 PM,2014-04-08,1:01 PM,"Western Area Power Administration, Sierra Nevada Region","Davis, California",WECC,Unknown,Unknown,"vandalism, physical"
Severe Weather - High Winds,2014,2014-03-12,7:35 PM,2014-03-13,12:00 PM,Duke Energy Carolinas,North Carolina,SERC,250,"61,377","severe weather, wind"
Severe Weather - Winter Storm,2014,2014-03-07,3:30 AM,2014-03-07,9:00 PM,Duke Energy Carolinas,"Triad, North Carolina",SERC,1500,"370,900","severe weather, winter storm"
Severe Weather - Snow/Ice,2014,2014-02-12,12:10 PM,2014-02-15,3:20 PM,Duke Energy Progress,North Carolina,SERC,Unknown,"200,000","severe weather, winter storm"
Severe Weather - Snow/Ice,2014,2014-02-12,11:03 AM,2014-02-15,8:40 AM,South Carolina Electric and Gas,South Carolina,SERC,700,"120,124","severe weather, winter storm"
Fuel Supply Emergency - Natural Gas,2014,2014-02-06,1:00 PM,2014-02-06,10:00 PM,California ISO,California,WECC,"4,000",Unknown,"fuel supply emergency, natural gas"
Fuel Supply Emergency - Natural Gas,2014,2014-02-06,2:15 PM,2014-02-06,7:39 PM,Southern California Edison,California,WECC,611,Unknown,"fuel supply emergency, natural gas"
Fuel Supply Emergency - Natural Gas,2014,2014-02-06,1:05 PM,2014-02-06,7:15 PM,Pacific Gas & Electric Co,Northern California,WECC,160,Unknown,"fuel supply emergency, natural gas"
Severe Weather - Snow/Ice,2014,2014-02-05,7:35 AM,2014-02-07,4:03 AM,PPL Electric Utilities Corp,"Lancaster Region, Pennsylvania",RFC,Unknown,"62,159","severe weather, winter storm"
Voltage Reduction; Public Appeal; Load Shed 100+MW due to Severe Weather - Cold,2014,2014-01-08,6:00 AM,2014-01-08,9:00 AM,South Carolina Electric and Gas,South Carolina,SERC,"4,545","677,858","severe weather, cold"
Voltage Reduction; Public Appeal; Load Shed 100+MW due to Severe Weather - Cold,2014,2014-01-07,6:00 PM,2014-01-07,11:00 PM,South Carolina Electric and Gas,South Carolina,SERC,"4,853","677,858","severe weather, cold"
