YEAR,MONTH,U.S._STATE,POSTAL.CODE,NERC.REGION,CLIMATE.REGION,OUTAGE.START.DATE,OUTAGE.START.TIME,OUTAGE.RESTORATION.DATE,OUTAGE.RESTORATION.TIME,CAUSE.CATEGORY,CAUSE.CATEGORY.DETAIL,OUTAGE.DURATION,DEMAND.LOSS.MW,CUSTOMERS.AFFECTED
2007,9,California,CA,WECC,West,2007-09-04,08:30:00,2007-09-04,15:30:00,severe weather,heatwave,420.0,,
2008,5,California,CA,WECC,West,2008-05-08,10:21:00,2008-05-08,12:56:00,system operability disruption,,155.0,483.0,
2006,5,California,CA,WECC,West,2006-05-19,15:13:00,2006-05-19,22:30:00,severe weather,thunderstorm,437.0,133.0,
2015,10,California,CA,WECC,West,2015-10-13,16:32:00,2015-10-13,20:39:00,public appeal,,247.0,41788.0,
2014,2,California,CA,WECC,West,2014-02-06,13:00:00,2014-02-06,22:00:00,fuel supply emergency, Natural Gas,540.0,4000.0,
2013,4,California,CA,WECC,West,2013-04-25,16:00:00,2013-04-26,10:55:00,intentional attack,vandalism,1135.0,0.0,0.0
2008,1,California,CA,WECC,West,2008-01-29,05:00:00,2008-01-29,12:17:00,equipment failure,,437.0,,
2006,7,California,CA,WECC,West,2006-07-24,14:33:00,2006-07-24,17:33:00,severe weather,heatwave,180.0,695.0,
2005,7,California,CA,WECC,West,2005-07-21,14:39:00,2005-07-21,17:30:00,system operability disruption,,171.0,197.0,128050.0
2013,8,California,CA,WECC,West,2013-08-19,19:06:00,2013-08-20,06:02:00,severe weather,lightning,656.0,685.0,124000.0
2005,9,California,CA,WECC,West,2005-09-12,12:32:00,2005-09-12,13:56:00,equipment failure,,84.0,2578.0,900000.0
2005,8,California,CA,WECC,West,2005-08-08,12:38:00,2005-08-08,16:00:00,equipment failure,plant trip,202.0,240.0,
2013,6,California,CA,WECC,West,2013-06-23,21:20:00,2013-06-24,01:35:00,severe weather,fog,255.0,,148000.0
2008,7,California,CA,WECC,West,2008-07-02,19:36:00,2008-07-03,13:10:00,severe weather,wildfire,1054.0,119.0,37784.0
2015,2,California,CA,WECC,West,2015-02-05,11:20:00,2015-02-05,11:21:00,intentional attack,vandalism,1.0,,
2013,2,California,CA,WECC,West,2013-02-19,16:01:00,2013-02-20,12:55:00,islanding,,1254.0,13850.0,6810.0
2011,3,California,CA,WECC,West,2011-03-20,09:44:00,2011-03-21,10:00:00,severe weather,storm,1456.0,,79000.0
2010,9,California,CA,WECC,West,2010-09-27,15:15:00,2010-09-27,18:12:00,system operability disruption,,177.0,595.0,
2013,7,California,CA,WECC,West,2013-07-05,00:05:00,2013-07-05,01:51:00,intentional attack,vandalism,106.0,,2500.0
2015,9,California,CA,WECC,West,2015-09-20,13:12:00,2015-09-20,13:44:00,system operability disruption,,32.0,150.0,
2011,11,California,CA,WECC,West,2011-11-30,16:56:00,2011-12-02,10:00:00,severe weather,,2464.0,,150000.0
2015,7,California,CA,WECC,West,2015-07-15,02:00:00,2015-07-15,02:55:00,system operability disruption,uncontrolled loss,55.0,360.0,
2010,9,California,CA,WECC,West,2010-09-01,10:20:00,2010-09-01,12:44:00,islanding,,144.0,31.0,15000.0
2011,7,California,CA,WECC,West,2011-07-12,20:20:00,2011-07-12,21:30:00,intentional attack,vandalism,70.0,,
2007,8,California,CA,WECC,West,2007-08-29,13:53:00,2007-08-29,14:57:00,system operability disruption,,64.0,180.0,26000.0
2011,2,California,CA,WECC,West,2011-02-17,13:00:00,2011-02-23,16:53:00,intentional attack,vandalism,8873.0,0.0,0.0
2009,11,California,CA,WECC,West,2009-11-18,06:15:00,2009-11-18,22:00:00,equipment failure,switching,945.0,630.0,
2015,6,California,CA,WECC,West,2015-06-08,00:00:00,,,fuel supply emergency,,,176.0,
2008,1,California,CA,WECC,West,2008-01-04,07:47:00,2008-01-04,16:30:00,severe weather,storm,523.0,300.0,150000.0
2010,3,California,CA,WECC,West,2010-03-31,23:59:00,2010-04-01,00:55:00,system operability disruption,,56.0,324.0,290000.0
2008,9,California,CA,WECC,West,2008-09-30,14:02:00,2008-09-30,14:05:00,islanding,,3.0,30.0,10000.0
2006,12,California,CA,WECC,West,2006-12-26,00:01:00,2006-12-31,21:13:00,severe weather,,8472.0,420.0,850068.0
2007,5,California,CA,WECC,West,2007-05-14,11:15:00,2007-05-14,13:50:00,equipment failure,generator trip,155.0,150.0,
2004,3,California,CA,WECC,West,2004-03-08,18:22:00,2004-03-08,18:55:00,system operability disruption,,33.0,300.0,70000.0
2008,2,California,CA,WECC,West,2008-02-02,03:58:00,2008-02-02,16:27:00,equipment failure,,749.0,,
2006,12,California,CA,WECC,West,2006-12-10,19:35:00,2006-12-10,22:14:00,equipment failure,generator trip,159.0,220.0,
2008,7,California,CA,WECC,West,2008-07-02,16:00:00,,,fuel supply emergency,,,,
2008,2,California,CA,WECC,West,2008-02-15,15:06:00,2008-02-15,19:36:00,islanding,,270.0,10.0,10008.0
2004,10,California,CA,WECC,West,2004-10-18,22:30:00,2004-10-20,21:00:00,severe weather,heavy wind,2790.0,140.0,407440.0
2008,6,California,CA,WECC,West,2008-06-21,15:09:00,2008-06-21,18:53:00,severe weather,thunderstorm,224.0,3.0,477.0
2010,1,California,CA,WECC,West,2010-01-19,14:30:00,2010-01-20,15:00:00,severe weather,storm,1470.0,2650.0,50000.0
2006,10,California,CA,WECC,West,2006-10-02,15:05:00,2006-10-02,20:39:00,system operability disruption,,334.0,308.0,130000.0
2015,6,California,CA,WECC,West,2015-06-30,10:50:00,2015-07-01,21:00:00,severe weather,,2050.0,,
2014,2,California,CA,WECC,West,2014-02-06,13:05:00,2014-02-06,19:15:00,fuel supply emergency, Natural Gas,370.0,160.0,
2015,6,California,CA,WECC,West,2015-06-02,18:58:00,2015-06-02,19:24:00,islanding,,26.0,5.0,727.0
2015,6,California,CA,WECC,West,2015-06-01,19:19:00,2015-06-02,08:36:00,islanding,,797.0,5.0,484.0
2015,4,California,CA,WECC,West,2015-04-07,15:34:00,2015-04-07,15:46:00,islanding,,12.0,0.0,0.0
2013,4,California,CA,WECC,West,2013-04-23,00:49:00,2013-04-23,04:04:00,islanding,,195.0,80.0,1.0
2013,11,California,CA,WECC,West,2013-11-12,14:04:00,2013-11-12,14:05:00,islanding,,1.0,55.0,48400.0
2013,3,California,CA,WECC,West,2013-03-03,06:39:00,2013-03-03,10:29:00,system operability disruption,transmission interruption,230.0,300.0,58850.0
2009,10,California,CA,WECC,West,2009-10-13,15:45:00,2009-10-13,17:50:00,severe weather,heavy wind,125.0,90.0,94000.0
2013,10,California,CA,WECC,West,2013-10-21,05:18:00,2013-10-21,05:33:00,islanding,,15.0,115.0,433.0
2001,3,California,CA,WECC,West,2001-03-20,09:17:00,2001-03-20,14:33:00,system operability disruption,,316.0,400.0,
2006,5,California,CA,WECC,West,2006-05-03,15:30:00,2006-05-03,21:35:00,severe weather,wildfire,365.0,300.0,55655.0
2007,8,California,CA,WECC,West,2007-08-29,16:00:00,2007-08-30,18:00:00,public appeal,,1560.0,,
2005,1,California,CA,WECC,West,2005-01-07,13:00:00,2005-01-10,20:00:00,severe weather,winter storm,4740.0,120.0,442000.0
2010,1,California,CA,WECC,West,2010-01-19,07:30:00,2010-01-19,12:24:00,severe weather,storm,294.0,300.0,30000.0
2013,11,California,CA,WECC,West,2013-11-21,19:45:00,2013-11-22,03:20:00,severe weather,wind storm,455.0,150.0,89500.0
2012,4,California,CA,WECC,West,2012-04-04,15:32:00,2012-04-06,15:30:00,intentional attack,vandalism,2878.0,,
2002,8,California,CA,WECC,West,2002-08-25,03:41:00,2002-08-25,09:17:00,system operability disruption,,336.0,120.0,
2015,3,California,CA,WECC,West,2015-03-29,04:26:00,2015-03-29,09:21:00,intentional attack,vandalism,295.0,,
2013,7,California,CA,WECC,West,2013-07-22,07:00:00,2013-07-22,15:00:00,intentional attack,vandalism,480.0,,
2016,4,California,CA,WECC,West,2016-04-02,11:08:00,2016-04-02,11:33:00,system operability disruption,uncontrolled loss,25.0,360.0,
2013,5,California,CA,WECC,West,2013-05-13,12:52:00,,,fuel supply emergency,Hydro,,176.0,
2016,2,California,CA,SERC,West,2016-02-13,12:44:00,2016-02-13,16:27:00,islanding,,223.0,7.0,4300.0
2006,2,California,CA,WECC,West,2006-02-27,18:25:00,2006-03-01,14:30:00,severe weather,winter storm,2645.0,,160000.0
2011,12,California,CA,WECC,West,2011-12-01,03:29:00,2011-12-02,13:05:00,severe weather,,2016.0,300.0,100000.0
2006,7,California,CA,WECC,West,2006-07-22,13:09:00,2006-07-27,16:00:00,severe weather,heatwave,7371.0,200.0,1271893.0
2015,7,California,CA,WECC,West,2015-07-03,08:30:00,2015-07-03,14:30:00,intentional attack,suspicious activity,360.0,0.0,0.0
2011,2,California,CA,WECC,West,2011-02-17,01:25:00,2011-02-19,10:13:00,severe weather,storm,3408.0,91.0,80000.0
2013,4,California,CA,WECC,West,2013-04-16,01:47:00,2013-04-18,15:25:00,intentional attack,vandalism,3698.0,,0.0
2011,2,California,CA,WECC,West,2011-02-25,08:00:00,2011-02-28,17:30:00,severe weather,winter storm,4890.0,91.0,80000.0
2015,12,California,CA,WECC,West,2015-12-10,17:55:00,2015-12-10,17:56:00,intentional attack,vandalism,1.0,,
2010,5,California,CA,WECC,West,2010-05-18,08:15:00,2010-05-18,22:46:00,equipment failure,breaker trip,871.0,318.0,
2004,2,California,CA,WECC,West,2004-02-25,00:01:00,2004-02-26,22:00:00,severe weather,winter storm,2759.0,240.0,505000.0
2005,8,California,CA,WECC,West,2005-08-25,15:50:00,2005-08-25,20:00:00,system operability disruption,,250.0,,
2007,7,California,CA,WECC,West,2007-07-03,10:59:00,2007-07-05,18:00:00,public appeal,,3301.0,,
