antecedent,consequent,support,confidence,lift
"('CAUSE.CATEGORY=severe weather',)","('CUSTOMERS.AFFECTED_level=Medium',)",0.2667,0.8,1.1429
"('CAUSE.CATEGORY=severe weather',)","('has_active_fire',)",0.3,0.9,0.9793
"('is_high_fire_activity',)","('fires_30day_level=High',)",0.319,0.7053,2.057
"('fires_30day_level=High',)","('is_high_fire_activity',)",0.319,0.9306,2.057
"('fires_30day_level=High',)","('acres_30day_level=High',)",0.2524,0.7361,2.2083
"('acres_30day_level=High',)","('fires_30day_level=High',)",0.2524,0.7571,2.2083
"('fires_30day_level=High',)","('acres_7day_level=High',)",0.2381,0.6944,2.0833
"('acres_7day_level=High',)","('fires_30day_level=High',)",0.2381,0.7143,2.0833
"('fires_30day_level=High',)","('max_frp_level=High',)",0.2095,0.6111,1.8333
"('max_frp_level=High',)","('fires_30day_level=High',)",0.2095,0.6286,1.8333
"('fires_30day_level=High',)","('CUSTOMERS.AFFECTED_level=Medium',)",0.2524,0.7361,1.0516
"('fires_30day_level=High',)","('is_wildfire_season',)",0.3333,0.9722,1.9822
"('is_wildfire_season',)","('fires_30day_level=High',)",0.3333,0.6796,1.9822
"('fires_30day_level=High',)","('fires_7day_level=High',)",0.2857,0.8333,2.5
"('fires_7day_level=High',)","('fires_30day_level=High',)",0.2857,0.8571,2.5
"('fires_30day_level=High',)","('has_active_fire',)",0.3429,1.0,1.0881
"('acres_30day_level=High',)","('is_high_fire_activity',)",0.2619,0.7857,1.7368
"('acres_7day_level=High',)","('is_high_fire_activity',)",0.2667,0.8,1.7684
"('max_frp_level=High',)","('is_high_fire_activity',)",0.2524,0.7571,1.6737
"('is_high_fire_activity',)","('CUSTOMERS.AFFECTED_level=Medium',)",0.3048,0.6737,0.9624
"('is_high_fire_activity',)","('is_wildfire_season',)",0.3619,0.8,1.6311
"('is_wildfire_season',)","('is_high_fire_activity',)",0.3619,0.7379,1.6311
"('is_high_fire_activity',)","('fires_7day_level=High',)",0.3238,0.7158,2.1474
"('fires_7day_level=High',)","('is_high_fire_activity',)",0.3238,0.9714,2.1474
"('is_high_fire_activity',)","('has_active_fire',)",0.4524,1.0,1.0881
"('DEMAND.LOSS.MW_level=Medium',)","('is_high_fire_activity',)",0.2095,0.6197,1.3699
"('season=Fall',)","('CUSTOMERS.AFFECTED_level=Medium',)",0.1476,0.7209,1.0299
"('season=Fall',)","('is_wildfire_season',)",0.2048,1.0,2.0388
"('season=Fall',)","('has_active_fire',)",0.1952,0.9535,1.0375
"('acres_30day_level=High',)","('acres_7day_level=High',)",0.2524,0.7571,2.2714
"('acres_7day_level=High',)","('acres_30day_level=High',)",0.2524,0.7571,2.2714
"('acres_30day_level=High',)","('max_frp_level=High',)",0.219,0.6571,1.9714
"('max_frp_level=High',)","('acres_30day_level=High',)",0.219,0.6571,1.9714
"('acres_30day_level=High',)","('CUSTOMERS.AFFECTED_level=Medium',)",0.2667,0.8,1.1429
"('is_wildfire_season',)","('acres_30day_level=High',)",0.3,0.6117,1.835
"('acres_30day_level=High',)","('is_wildfire_season',)",0.3,0.9,1.835
"('acres_30day_level=High',)","('fires_7day_level=High',)",0.2333,0.7,2.1
"('fires_7day_level=High',)","('acres_30day_level=High',)",0.2333,0.7,2.1
"('acres_30day_level=High',)","('has_active_fire',)",0.3333,1.0,1.0881
"('OUTAGE.DURATION_level=Medium',)","('CUSTOMERS.AFFECTED_level=Medium',)",0.2476,0.7429,1.0612
"('OUTAGE.DURATION_level=Medium',)","('has_active_fire',)",0.3048,0.9143,0.9948
"('acres_7day_level=High',)","('max_frp_level=High',)",0.2333,0.7,2.1
"('max_frp_level=High',)","('acres_7day_level=High',)",0.2333,0.7,2.1
"('acres_7day_level=High',)","('CUSTOMERS.AFFECTED_level=Medium',)",0.2524,0.7571,1.0816
"('acres_7day_level=High',)","('is_wildfire_season',)",0.2667,0.8,1.6311
"('fires_7day_level=High',)","('acres_7day_level=High',)",0.2333,0.7,2.1
"('acres_7day_level=High',)","('fires_7day_level=High',)",0.2333,0.7,2.1
"('acres_7day_level=High',)","('has_active_fire',)",0.3333,1.0,1.0881
"('max_frp_level=High',)","('CUSTOMERS.AFFECTED_level=Medium',)",0.2571,0.7714,1.102
"('max_frp_level=High',)","('is_wildfire_season',)",0.2571,0.7714,1.5728
"('fires_7day_level=High',)","('max_frp_level=High',)",0.2048,0.6143,1.8429
"('max_frp_level=High',)","('fires_7day_level=High',)",0.2048,0.6143,1.8429
"('max_frp_level=High',)","('has_active_fire',)",0.3333,1.0,1.0881
"('is_wildfire_season',)","('CUSTOMERS.AFFECTED_level=Medium',)",0.3286,0.6699,0.957
"('fires_7day_level=High',)","('CUSTOMERS.AFFECTED_level=Medium',)",0.2238,0.6714,0.9592
"('CUSTOMERS.AFFECTED_level=Medium',)","('has_active_fire',)",0.6619,0.9456,1.0289
"('has_active_fire',)","('CUSTOMERS.AFFECTED_level=Medium',)",0.6619,0.7202,1.0289
"('DEMAND.LOSS.MW_level=Medium',)","('CUSTOMERS.AFFECTED_level=Medium',)",0.2905,0.8592,1.2274
"('is_wildfire_season',)","('fires_7day_level=High',)",0.2952,0.6019,1.8058
"('fires_7day_level=High',)","('is_wildfire_season',)",0.2952,0.8857,1.8058
"('is_wildfire_season',)","('has_active_fire',)",0.481,0.9806,1.067
"('fires_7day_level=High',)","('has_active_fire',)",0.3333,1.0,1.0881
"('DEMAND.LOSS.MW_level=Medium',)","('has_active_fire',)",0.3381,1.0,1.0881
"('CAUSE.CATEGORY=severe weather', 'is_high_fire_activity')","('has_active_fire',)",0.1524,1.0,1.0881
"('CAUSE.CATEGORY=severe weather', 'acres_7day_level=High')","('has_active_fire',)",0.1476,1.0,1.0881
"('CAUSE.CATEGORY=severe weather',)","('CUSTOMERS.AFFECTED_level=Medium', 'has_active_fire')",0.2429,0.7286,1.1007
"('CAUSE.CATEGORY=severe weather', 'has_active_fire')","('CUSTOMERS.AFFECTED_level=Medium',)",0.2429,0.8095,1.1565
"('CAUSE.CATEGORY=severe weather', 'CUSTOMERS.AFFECTED_level=Medium')","('has_active_fire',)",0.2429,0.9107,0.9909
"('CAUSE.CATEGORY=severe weather', 'is_wildfire_season')","('has_active_fire',)",0.1524,0.9697,1.0551
"('fires_30day_level=High',)","('acres_30day_level=High', 'is_high_fire_activity')",0.2381,0.6944,2.6515
"('acres_30day_level=High',)","('fires_30day_level=High', 'is_high_fire_activity')",0.2381,0.7143,2.2388
"('fires_30day_level=High', 'is_high_fire_activity')","('acres_30day_level=High',)",0.2381,0.7463,2.2388
"('acres_30day_level=High', 'is_high_fire_activity')","('fires_30day_level=High',)",0.2381,0.9091,2.6515
"('acres_30day_level=High', 'fires_30day_level=High')","('is_high_fire_activity',)",0.2381,0.9434,2.0854
"('fires_30day_level=High',)","('acres_7day_level=High', 'is_high_fire_activity')",0.2286,0.6667,2.5
"('acres_7day_level=High',)","('fires_30day_level=High', 'is_high_fire_activity')",0.2286,0.6857,2.1493
"('fires_30day_level=High', 'is_high_fire_activity')","('acres_7day_level=High',)",0.2286,0.7164,2.1493
"('acres_7day_level=High', 'is_high_fire_activity')","('fires_30day_level=High',)",0.2286,0.8571,2.5
"('acres_7day_level=High', 'fires_30day_level=High')","('is_high_fire_activity',)",0.2286,0.96,2.1221
"('fires_30day_level=High', 'is_high_fire_activity')","('max_frp_level=High',)",0.1952,0.6119,1.8358
