feature,importance
CAUSE.CATEGORY_severe weather,0.12380275133320834
fires_7day,0.06697124787898569
fires_30day,0.05918168932084985
daily_acres_burned,0.057408888389295754
avg_fire_size,0.05575647781934858
acres_7day,0.053523333870430186
CAUSE.CATEGORY_islanding,0.05174688664367559
satellite_detections,0.04844924167248738
max_fire_size,0.04770795164824111
max_frp,0.047201809439262755
total_frp,0.04699941033862414
acres_30day,0.046275358043543956
avg_confidence,0.041609797555186116
daily_fire_count,0.03821766434538278
avg_frp,0.035648824916863824
outage_dayofweek,0.02933084523357192
outage_month,0.02615712469571859
CAUSE.CATEGORY_system operability disruption,0.023040429854443746
CAUSE.CATEGORY_intentional attack,0.02223370036168018
outage_quarter,0.02087134323771361
CAUSE.CATEGORY_fuel supply emergency,0.012863163525336629
season_Summer,0.0093598803258097
large_fire_acres,0.008230899817361999
season_Spring,0.005899024239893563
large_fire_count,0.0053570489979415225
is_weekend,0.004993080684707067
season_Winter,0.00435023588170499
is_wildfire_season,0.0027713551978700707
is_high_fire_activity,0.0018807397421615874
has_active_fire,0.0011427283370209031
CAUSE.CATEGORY_public appeal,0.0010170666516778816
