feature,importance
CAUSE.CATEGORY_islanding,0.08872817260099213
CAUSE.CATEGORY_severe weather,0.08799803555692472
acres_7day,0.06715341959153992
avg_confidence,0.06538731742187047
daily_acres_burned,0.06525165975204002
daily_fire_count,0.05971383656280734
fires_30day,0.05599164933062367
avg_fire_size,0.05542301545063689
fires_7day,0.05430618256683842
acres_30day,0.051286953238418614
outage_month,0.04206632992427749
max_fire_size,0.038189955545966874
avg_frp,0.03740728496139314
CAUSE.CATEGORY_intentional attack,0.03327028886124782
satellite_detections,0.030632906576184366
outage_dayofweek,0.03026436266207603
total_frp,0.028891116642568777
CAUSE.CATEGORY_system operability disruption,0.028290719120598953
max_frp,0.02074579289896465
CAUSE.CATEGORY_fuel supply emergency,0.012630033656264455
season_Winter,0.012167933166610466
outage_quarter,0.00860857384804731
season_Spring,0.007324095427398515
large_fire_count,0.005665744862532437
is_weekend,0.004004127852083477
is_wildfire_season,0.0024625988930229836
is_high_fire_activity,0.001816191163853493
has_active_fire,0.001563475233452268
season_Summer,0.0012616209260882826
large_fire_acres,0.0010018926725218987
CAUSE.CATEGORY_public appeal,0.0004947130321541204
