year_month,outage_count,OUTAGE.DURATION,CUSTOMERS.AFFECTED,DEMAND.LOSS.MW,is_high_severity,is_wildfire_related,monthly_fire_count,monthly_acres_burned,avg_fire_size,max_fire_size,most_common_cause
2000-06-01,1,0.0,32000.0,130.0,0,0,1185.0,16014.0,13.51392405063291,5731.0,Equipment Use
2000-07-01,0,0.0,0.0,0.0,0,0,1496.0,121903.2,81.4860962566845,75000.0,Miscellaneous
2000-08-01,0,0.0,0.0,0.0,0,0,1492.0,80738.90000000001,54.11454423592494,55261.0,Lightning
2000-09-01,0,0.0,0.0,0.0,0,0,758.0,16120.6,21.267282321899735,8284.0,Equipment Use
2000-10-01,0,0.0,0.0,0.0,0,0,493.0,8640.199999999999,17.525760649087218,4500.0,Equipment Use
2000-11-01,0,0.0,0.0,0.0,0,0,198.0,184.2,0.9303030303030304,30.0,Miscellaneous
2000-12-01,0,0.0,0.0,0.0,0,0,162.0,1247.2,7.698765432098765,480.0,Miscellaneous
2001-01-01,2,1945.0,0.0,400.0,0,0,156.0,10890.9,69.81346153846154,10353.0,Miscellaneous
2001-02-01,0,0.0,0.0,0.0,0,0,61.0,2562.8,42.01311475409836,2400.0,Miscellaneous
2001-03-01,4,337.0,227992.0,550.0,1,0,122.0,329.2,2.6983606557377047,200.0,Debris Burning
2001-04-01,0,0.0,0.0,0.0,0,0,161.0,195.5,1.2142857142857142,34.0,Miscellaneous
2001-05-01,3,107.66666666666667,70848.0,308.3333333333333,1,0,894.0,11900.6,13.311633109619688,4400.0,Equipment Use
2001-06-01,0,0.0,0.0,0.0,0,0,1335.0,36630.3,27.438426966292138,14500.0,Equipment Use
2001-07-01,0,0.0,0.0,0.0,0,0,2076.0,38828.7,18.703612716763004,9300.0,Lightning
2001-08-01,0,0.0,0.0,0.0,0,0,1322.0,200698.6,151.8143721633888,67792.0,Miscellaneous
2001-09-01,0,0.0,0.0,0.0,0,0,1171.0,34982.2,29.87378309137489,14280.0,Lightning
