outage_date,outage_year,outage_month,outage_dayofweek,outage_quarter,season,is_wildfire_season,is_weekend,CAUSE.CATEGORY,CAUSE.CATEGORY.DETAIL,OUTAGE.DURATION,DEMAND.LOSS.MW,CUSTOMERS.AFFECTED,duration_category,impact_category,is_wildfire_related,daily_fire_count,daily_acres_burned,avg_fire_size,max_fire_size,large_fire_count,large_fire_acres,satellite_detections,total_frp,avg_frp,max_frp,avg_confidence,fires_7day,fires_30day,acres_7day,acres_30day,is_high_severity,is_long_duration,has_active_fire,is_high_fire_activity,kmeans_cluster,hierarchical_cluster,dbscan_cluster
2007-09-04,2007,9,1,3,Fall,1,0,severe weather,heatwave,420.0,,,Medium,Unknown,0,48.0,24.55,0.5114583333333333,5.0,0.0,0.0,165.0,34776.4,210.76606060606065,2500.9,89.83636363636364,480.0,1473.0,119713.42999999988,134779.78,0,0,1,1,2,1,0
2008-05-08,2008,5,3,2,Spring,0,0,system operability disruption,,155.0,483.0,,Medium,Unknown,0,16.0,76.7,4.79375,52.0,0.0,0.0,17.0,520.6,30.623529411764707,175.7,70.52941176470588,133.0,693.0,2752.659999999884,5495.7699999999995,0,0,1,0,1,0,0
2006-05-19,2006,5,4,2,Spring,0,0,severe weather,thunderstorm,437.0,133.0,,Medium,Unknown,0,15.0,14.1,0.94,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,399.0,2759.1399999998835,3000.94,0,0,1,0,1,0,0
2015-10-13,2015,10,1,4,Fall,1,0,public appeal,,247.0,41788.0,,Medium,Unknown,0,20.0,255.25,12.7625,250.0,0.0,0.0,13.0,1615.2,124.24615384615385,418.1,79.61538461538461,126.0,572.0,1100.9299999998254,3807.79,1,0,1,1,0,1,-1
2014-02-06,2014,2,3,1,Winter,0,0,fuel supply emergency, Natural Gas,540.0,4000.0,,Long,Unknown,0,3.0,1.2,0.3999999999999999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,445.0,43.51999999982538,4157.610000000001,1,1,1,0,0,1,0
2013-04-25,2013,4,3,2,Spring,0,0,intentional attack,vandalism,1135.0,0.0,0.0,Long,Low,0,30.0,19.14,0.638,7.0,0.0,0.0,7.0,174.7,24.957142857142856,46.9,72.57142857142857,226.0,537.0,573.9299999998253,1642.63,0,1,1,1,1,0,0
2008-01-29,2008,1,1,1,Winter,0,0,equipment failure,,437.0,,,Medium,Unknown,0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,43.0,21.5,22.8,69.0,10.0,88.0,25.39999999988359,121.8999999999991,0,0,1,0,1,0,0
2006-07-24,2006,7,0,3,Summer,1,0,severe weather,heatwave,180.0,695.0,,Medium,Unknown,0,161.0,124358.95,772.4158385093167,66113.0,6.0,123019.0,94.0,11231.2,119.4808510638298,1104.9,87.12765957446808,664.0,2312.0,218728.30999999988,403733.82000000007,0,0,1,1,2,1,0
2005-07-21,2005,7,3,3,Summer,1,0,system operability disruption,,171.0,197.0,128050.0,Medium,Severe,0,45.0,495.75,11.016666666666667,181.0,0.0,0.0,8.0,611.2,76.4,304.1,83.625,298.0,1355.0,19625.719999999885,117483.2,1,0,1,1,2,1,0
2013-08-19,2013,8,0,3,Summer,1,0,severe weather,lightning,656.0,685.0,124000.0,Long,Severe,0,93.0,1010.89,10.86978494623656,413.0,0.0,0.0,114.0,8405.3,73.73070175438596,1067.2,85.16666666666667,316.0,1242.0,261734.1399999998,388940.411,1,1,1,1,2,2,0
2005-09-12,2005,9,0,3,Fall,1,0,equipment failure,,84.0,2578.0,900000.0,Medium,Severe,0,25.0,181.1,7.244,136.0,0.0,0.0,31.0,1123.4,36.23870967741936,236.8,76.54838709677419,204.0,1084.0,3869.249999999883,24093.460000000003,1,0,1,1,2,0,0
2005-08-08,2005,8,0,3,Summer,1,0,equipment failure,plant trip,202.0,240.0,,Medium,Unknown,0,32.0,261.75,8.1796875,204.0,0.0,0.0,20.0,1421.4,71.07,645.4,78.75,329.0,1345.0,2918.6199999998835,49669.39,0,0,1,1,2,1,0
2013-06-23,2013,6,6,2,Summer,1,1,severe weather,fog,255.0,,148000.0,Medium,Severe,0,58.0,102.43,1.7660344827586207,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1300.0,857.339999999829,45898.18,1,0,1,1,2,1,0
2008-07-02,2008,7,2,3,Summer,1,0,severe weather,wildfire,1054.0,119.0,37784.0,Long,Medium,1,41.0,641.33,15.64219512195122,289.0,0.0,0.0,421.0,24891.1,59.123752969121135,1688.1,82.18052256532067,273.0,1956.0,55377.16999999989,1109865.87,0,1,1,1,2,2,1
2015-02-05,2015,2,3,1,Winter,0,0,intentional attack,vandalism,1.0,,,Short,Unknown,0,3.0,13.25,4.416666666666667,12.0,0.0,0.0,23.0,1606.3,69.8391304347826,374.0,81.1304347826087,30.0,102.0,52.85999999982536,155.29000000001457,0,0,1,0,1,0,0
2013-02-19,2013,2,1,1,Winter,0,0,islanding,,1254.0,13850.0,6810.0,Long,Low,0,2.0,0.12,0.06,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,171.0,37.369999999825374,459.81,1,1,1,0,0,1,-1
2011-03-20,2011,3,6,1,Spring,0,1,severe weather,storm,1456.0,,79000.0,Extended,High,0,3.0,0.21,0.07,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,136.0,858.0999999998527,1297.4999999999998,1,1,1,0,0,0,0
2010-09-27,2010,9,0,3,Fall,1,0,system operability disruption,,177.0,595.0,,Medium,Unknown,0,27.0,170.42000000000002,6.311851851851852,64.0,0.0,0.0,7.0,297.7,42.528571428571425,65.0,66.0,165.0,777.0,608.3399999998526,13229.5,0,0,1,1,1,1,0
2013-07-05,2013,7,4,3,Summer,1,0,intentional attack,vandalism,106.0,,2500.0,Medium,Low,0,61.0,68.87,1.129016393442623,20.0,0.0,0.0,116.0,62954.0,542.7068965517242,6976.0,91.40517241379312,474.0,1480.0,2295.469999999829,12397.311000000003,0,0,1,1,2,1,0
2015-09-20,2015,9,6,3,Fall,1,1,system operability disruption,,32.0,150.0,,Short,Unknown,0,23.0,102.45,4.4543478260869565,56.0,0.0,0.0,31.0,5121.1,165.1967741935484,749.2,86.09677419354838,134.0,724.0,1380.5799999998255,152392.53999999998,0,0,1,1,1,1,0
2011-11-30,2011,11,2,4,Fall,1,0,severe weather,,2464.0,,150000.0,Extended,Severe,0,20.0,186.93,9.3465,135.0,0.0,0.0,1.0,7.0,7.0,7.0,55.0,69.0,330.0,209.2699999998545,1190.09,1,1,1,1,0,0,0
2015-07-15,2015,7,2,3,Summer,1,0,system operability disruption,uncontrolled loss,55.0,360.0,,Short,Unknown,0,43.0,30.02,0.6981395348837209,5.0,0.0,0.0,8.0,204.5,25.5625,75.4,74.625,282.0,1531.0,956.3699999998254,80455.57000000002,0,0,1,1,2,1,0
2010-09-01,2010,9,2,3,Fall,1,0,islanding,,144.0,31.0,15000.0,Medium,Medium,0,39.0,131.63,3.375128205128205,85.0,0.0,0.0,15.0,1428.8,95.25333333333332,895.5,79.86666666666666,271.0,1064.0,2297.459999999854,13481.0,0,0,1,1,2,1,0
2011-07-12,2011,7,1,3,Summer,1,0,intentional attack,vandalism,70.0,,,Medium,Unknown,0,42.0,379.63,9.038809523809524,347.0,0.0,0.0,8.0,434.4,54.3,140.9,70.375,378.0,1559.0,23086.669999999853,39393.46,0,0,1,1,2,1,0
2007-08-29,2007,8,2,3,Summer,1,0,system operability disruption,,64.0,180.0,26000.0,Medium,Medium,0,70.0,1948.8,27.84,1440.0,1.0,1440.0,12.0,1081.6,90.13333333333334,286.7,83.33333333333333,359.0,1337.0,4255.489999999883,18278.72,0,0,1,1,2,1,0
2011-02-17,2011,2,3,1,Winter,0,0,intentional attack,vandalism,8873.0,0.0,0.0,Extended,Low,0,1.0,0.11,0.11,0.11,0.0,0.0,17.0,2159.9,127.0529411764706,344.0,90.47058823529412,43.0,203.0,43.909999999852666,172.04,0,1,1,0,1,0,0
2009-11-18,2009,11,2,4,Fall,1,0,equipment failure,switching,945.0,630.0,,Long,Unknown,0,10.0,3.3,0.3299999999999999,1.0,0.0,0.0,56.0,4371.3,78.05892857142858,289.2,71.32142857142857,62.0,300.0,181.06999999985447,1026.11,0,1,1,0,1,0,0
2015-06-08,2015,6,0,2,Summer,1,0,fuel supply emergency,,,176.0,,Unknown,Unknown,0,32.0,121.27,3.7896875,75.0,0.0,0.0,4.0,142.10000000000002,35.525000000000006,70.7,76.0,259.0,791.0,415.1599999998254,1917.1600000000144,0,0,1,1,2,1,0
2008-01-04,2008,1,4,1,Winter,0,0,severe weather,storm,523.0,300.0,150000.0,Long,Severe,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,199.0,65.2999999998836,130.3099999999991,1,1,0,0,0,0,0
2010-03-31,2010,3,2,1,Spring,0,0,system operability disruption,,56.0,324.0,290000.0,Short,Severe,0,6.0,8.2,1.3666666666666665,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,102.0,171.8599999998545,300.29,1,0,1,0,1,0,0
2008-09-30,2008,9,1,3,Fall,1,0,islanding,,3.0,30.0,10000.0,Short,Medium,0,32.0,1006.05,31.4390625,914.0,0.0,0.0,86.0,9913.8,115.2767441860465,553.6,83.55813953488372,156.0,751.0,12787.769999999884,23555.140000000003,0,0,1,1,2,1,0
